"","season","hour","plant.scale","top","a","b","R2","site_name"
"1","Spring (MAM)","All Hours","scale_1x","Top 2%",0.572781584311465,-0.11966523965903,0.967234007216081,"Arcata_WWTF"
"2","Spring (MAM)","High Mixing Hours","scale_1x","Top 2%",0.453561594602808,0.327341954139423,0.943265341142336,"Arcata_WWTF"
"3","Spring (MAM)","Low Mixing Hours","scale_1x","Top 2%",0.570259584830293,0.161298604850135,0.968341455614918,"Arcata_WWTF"
"4","Summer (JJA)","All Hours","scale_1x","Top 2%",0.533338170108181,0.0332226978136757,0.966856904488988,"Arcata_WWTF"
"5","Summer (JJA)","High Mixing Hours","scale_1x","Top 2%",0.500773903601488,0.100144498694829,0.922059856470527,"Arcata_WWTF"
"6","Summer (JJA)","Low Mixing Hours","scale_1x","Top 2%",0.586373186217914,0.0244757953323734,0.967039578371188,"Arcata_WWTF"
"7","Fall (SON)","All Hours","scale_1x","Top 2%",0.573621755438878,0.155965906899588,0.974068885466213,"Arcata_WWTF"
"8","Fall (SON)","High Mixing Hours","scale_1x","Top 2%",0.520244302311392,0.00773995388884446,0.942356911120889,"Arcata_WWTF"
"9","Fall (SON)","Low Mixing Hours","scale_1x","Top 2%",0.698764289951065,-0.196378998910136,0.975892911606075,"Arcata_WWTF"
"10","Winter (DJF)","All Hours","scale_1x","Top 2%",0.655374075142021,0.092870511105409,0.985135539320415,"Arcata_WWTF"
"11","Winter (DJF)","High Mixing Hours","scale_1x","Top 2%",0.583037167059577,-0.17092073254461,0.966739071424944,"Arcata_WWTF"
"12","Winter (DJF)","Low Mixing Hours","scale_1x","Top 2%",0.720766047272416,-0.0457011387917134,0.989264029619882,"Arcata_WWTF"
"13","All","All Hours","scale_1x","Top 2%",0.535960430221335,0.341263213309826,0.976225496632476,"Arcata_WWTF"
"14","All","High Mixing Hours","scale_1x","Top 2%",0.480318118145561,0.210792559123414,0.95234505155258,"Arcata_WWTF"
"15","All","Low Mixing Hours","scale_1x","Top 2%",0.674969143236958,-0.0639438573375953,0.980587379649763,"Arcata_WWTF"
"16","Spring (MAM)","All Hours","scale_1x","Top 2%",0.565850632589285,0.0842527551037727,0.976691449083167,"Atwater_WWTF"
"17","Spring (MAM)","High Mixing Hours","scale_1x","Top 2%",0.439159196913998,0.345955419259287,0.914685040545534,"Atwater_WWTF"
"18","Spring (MAM)","Low Mixing Hours","scale_1x","Top 2%",0.514779928612974,0.620853585667311,0.976852282053929,"Atwater_WWTF"
"19","Summer (JJA)","All Hours","scale_1x","Top 2%",0.611039474370409,-0.222130502056578,0.976134233379216,"Atwater_WWTF"
"20","Summer (JJA)","High Mixing Hours","scale_1x","Top 2%",0.380552465427041,0.662178660465965,0.790212052659469,"Atwater_WWTF"
"21","Summer (JJA)","Low Mixing Hours","scale_1x","Top 2%",0.586182287308225,0.107826122311461,0.983368263132235,"Atwater_WWTF"
"22","Fall (SON)","All Hours","scale_1x","Top 2%",0.548745773199088,0.549309600856937,0.976135864580341,"Atwater_WWTF"
"23","Fall (SON)","High Mixing Hours","scale_1x","Top 2%",0.468111990431543,0.285939323782954,0.924008371211093,"Atwater_WWTF"
"24","Fall (SON)","Low Mixing Hours","scale_1x","Top 2%",0.639916594737464,0.308948800154906,0.973011669355793,"Atwater_WWTF"
"25","Winter (DJF)","All Hours","scale_1x","Top 2%",0.536731903934267,0.550980520844365,0.984743967734905,"Atwater_WWTF"
"26","Winter (DJF)","High Mixing Hours","scale_1x","Top 2%",0.500199207556514,0.158661925632482,0.961414381429154,"Atwater_WWTF"
"27","Winter (DJF)","Low Mixing Hours","scale_1x","Top 2%",0.622311784584722,0.436941652304583,0.990801059792259,"Atwater_WWTF"
"28","All","All Hours","scale_1x","Top 2%",0.53601745145687,0.339092808628696,0.98040073215364,"Atwater_WWTF"
"29","All","High Mixing Hours","scale_1x","Top 2%",0.452900023112883,0.317971441241243,0.939412800571966,"Atwater_WWTF"
"30","All","Low Mixing Hours","scale_1x","Top 2%",0.572603930777125,0.50581789672186,0.974706101865496,"Atwater_WWTF"
"31","Spring (MAM)","All Hours","scale_1x","Top 2%",0.521332946513142,0.445939972594903,0.980672361209366,"BakersfieldWWTP2"
"32","Spring (MAM)","High Mixing Hours","scale_1x","Top 2%",0.42156424897132,0.487286090701493,0.899090149966389,"BakersfieldWWTP2"
"33","Spring (MAM)","Low Mixing Hours","scale_1x","Top 2%",0.606272530615579,0.42429493539288,0.97988307425438,"BakersfieldWWTP2"
"34","Summer (JJA)","All Hours","scale_1x","Top 2%",0.522934782239245,0.388647061759101,0.977684891424646,"BakersfieldWWTP2"
"35","Summer (JJA)","High Mixing Hours","scale_1x","Top 2%",0.402670121497963,0.531793052465729,0.758401576192117,"BakersfieldWWTP2"
"36","Summer (JJA)","Low Mixing Hours","scale_1x","Top 2%",0.581447171958252,0.465075536749105,0.973345433976844,"BakersfieldWWTP2"
"37","Fall (SON)","All Hours","scale_1x","Top 2%",0.488951087610809,0.693768577924277,0.983437445253843,"BakersfieldWWTP2"
"38","Fall (SON)","High Mixing Hours","scale_1x","Top 2%",0.552494738673883,-0.0197930722670152,0.963895009551164,"BakersfieldWWTP2"
"39","Fall (SON)","Low Mixing Hours","scale_1x","Top 2%",0.61149658747587,0.461453711263359,0.987720682016655,"BakersfieldWWTP2"
"40","Winter (DJF)","All Hours","scale_1x","Top 2%",0.578619791034353,0.604415006592754,0.977447341918655,"BakersfieldWWTP2"
"41","Winter (DJF)","High Mixing Hours","scale_1x","Top 2%",0.492438949526969,0.283699982025877,0.97082008773851,"BakersfieldWWTP2"
"42","Winter (DJF)","Low Mixing Hours","scale_1x","Top 2%",0.701018240361111,0.293069266790201,0.979340638451878,"BakersfieldWWTP2"
"43","All","All Hours","scale_1x","Top 2%",0.479376116124871,0.673750877184353,0.978816593209706,"BakersfieldWWTP2"
"44","All","High Mixing Hours","scale_1x","Top 2%",0.427242616866643,0.495313905118666,0.935566114262661,"BakersfieldWWTP2"
"45","All","Low Mixing Hours","scale_1x","Top 2%",0.562066596874338,0.638748435367851,0.98320163887511,"BakersfieldWWTP2"
"46","Spring (MAM)","All Hours","scale_1x","Top 2%",0.590526102072626,-0.235502628633112,0.980640014232743,"Calexico_WPCP"
"47","Spring (MAM)","High Mixing Hours","scale_1x","Top 2%",0.420681739731412,0.432569947081384,0.847749089277815,"Calexico_WPCP"
"48","Spring (MAM)","Low Mixing Hours","scale_1x","Top 2%",0.554517315556523,0.349616367093984,0.979575946515816,"Calexico_WPCP"
"49","Summer (JJA)","All Hours","scale_1x","Top 2%",0.577431089535233,-0.317428197870024,0.939632788160668,"Calexico_WPCP"
"50","Summer (JJA)","High Mixing Hours","scale_1x","Top 2%",0.409360562558446,0.460557036094249,0.780577390354818,"Calexico_WPCP"
"51","Summer (JJA)","Low Mixing Hours","scale_1x","Top 2%",0.607250826332902,-0.334623104274673,0.959254810430858,"Calexico_WPCP"
"52","Fall (SON)","All Hours","scale_1x","Top 2%",0.530835255918307,0.426570738041749,0.985744208346456,"Calexico_WPCP"
"53","Fall (SON)","High Mixing Hours","scale_1x","Top 2%",0.469904432145836,0.183718551724447,0.909862572170348,"Calexico_WPCP"
"54","Fall (SON)","Low Mixing Hours","scale_1x","Top 2%",0.711121029974641,-0.155066529549372,0.974207858433663,"Calexico_WPCP"
"55","Winter (DJF)","All Hours","scale_1x","Top 2%",0.607728162118142,0.297354654591147,0.986351202875014,"Calexico_WPCP"
"56","Winter (DJF)","High Mixing Hours","scale_1x","Top 2%",0.515998073080278,0.017462318415749,0.953869879776842,"Calexico_WPCP"
"57","Winter (DJF)","Low Mixing Hours","scale_1x","Top 2%",0.701697789022799,0.0196369032430778,0.968647311315777,"Calexico_WPCP"
"58","All","All Hours","scale_1x","Top 2%",0.592465530976871,-0.0064897926797706,0.988205301194045,"Calexico_WPCP"
"59","All","High Mixing Hours","scale_1x","Top 2%",0.42889143736454,0.395821670965138,0.904593267159734,"Calexico_WPCP"
"60","All","Low Mixing Hours","scale_1x","Top 2%",0.620780068772778,0.216444502552949,0.983753034767835,"Calexico_WPCP"
"61","Spring (MAM)","All Hours","scale_1x","Top 2%",0.590172265130296,0.349376592139917,0.977229036049312,"Corona_WWTP1"
"62","Spring (MAM)","High Mixing Hours","scale_1x","Top 2%",0.426765023292688,0.361718399236061,0.763775424182343,"Corona_WWTP1"
